G002325765	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__UBA1459	g__UBA1459	s__UBA1459 sp002325765
G000702785	d__Bacteria	p__Firmicutes	c__Bacilli	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis	s__Mycoplasmopsis primatum
G000367765	d__Bacteria	p__Firmicutes	c__Bacilli	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Metamycoplasma	s__Metamycoplasma auris_A
G900660515	d__Bacteria	p__Firmicutes	c__Bacilli	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis_A	s__Mycoplasmopsis_A bovirhinis
G902524655	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__CACIJG01	s__CACIJG01 sp902524655
G902541695	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__CACIIZ01	s__CACIIZ01 sp902541695
G004296535	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales_A	f__Enterobacteriaceae_A	g__Nardonella	s__Nardonella sp004296535
G003331935	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__CACIJG01	s__CACIJG01 sp003331935
G902524845	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__CACIJG01	s__CACIJG01 sp902524845
G902580265	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__CACIJG01	s__CACIJG01 sp902580265
G902531755	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__CACIJG01	s__CACIJG01 sp902531755
G902556405	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__CACIJG01	s__CACIJG01 sp902556405
G002703515	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__CACIJG01	s__CACIJG01 sp002703515
G902581005	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__CACIJG01	s__CACIJG01 sp902581005
G902530595	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__CACIJG01	s__CACIJG01 sp902530595
G902584635	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__CACIJG01	s__CACIJG01 sp902584635
G902540655	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__CACIJG01	s__CACIJG01 sp902540655
G902537415	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__CACIJG01	s__CACIJG01 sp902537415
G902596605	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__CACIJG01	s__CACIJG01 sp902596605
G000147015	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales_A	f__Enterobacteriaceae_A	g__Zinderia	s__Zinderia insecticola
G902537235	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__CACIJG01	s__CACIJG01 sp902537235
G902537215	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__CACIJG01	s__CACIJG01 sp902537215
G902576905	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__CACIJG01	s__CACIJG01 sp902576905
G902574225	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__CACIJG01	s__CACIJG01 sp902574225
G902611475	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__CACIJG01	s__CACIJG01 sp902611475
G902619165	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__CACIJG01	s__CACIJG01 sp902619165
G902560505	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__CACIJG01	s__CACIJG01 sp902560505
